dcs_id	dcs_lemma_iast	slp1	normkey	in_cdsl	token_count	grammar
37875	tad	tad	tad	1	3734	pron
157144	ca	ca	ca	1	3385	ind
37879	mad	mad	mad	1	1917	pron
43432	na	na	na	1	1648	ind
63331	iti	iti	iti	1	1512	ind
21365	api	api	api	1	1480	ind
37876	idam	idam	idam	1	1181	pron
39754	eva	eva	eva	1	1170	ind
37880	tvad	tvad	tvad	1	1158	pron
156168	kṛ	kf	kf	1	1073	2. Ā.
37877	yad	yad	yad	1	916	pron
75765	vā	vA	vA	1	811	ind
156122	as	as	as	1	782	2. P.
37878	ka	ka	ka	1	723	pron
63807	iva	iva	iva	1	632	ind
70467	rājan	rAjan	rAjan	1	588	m
157250	bhū	BU	BU	1	572	1. Ā.
157264	vac	vac	vac	1	567	2. P.
82701	tu	tu	tu	1	550	ind
163744	etad	etad	etad	1	541	pron
156214	gam	gam	gam	1	528	6. Ā.
104444	sarva	sarva	sarva	1	435	pron
202954	sa	sa	sa	1	429	ind
95987	tathā	taTA	taTA	1	427	ind
109879	hi	hi	hi	1	404	ind
53136	artha	arTa	arTa	1	401	mn
95922	tatas	tatas	tatas	1	391	ind
86559	deva	deva	deva	1	390	m
114356	sva	sva	sva	1	380	adj
213048	a	a	a	1	325	ind
157262	brū	brU	brU	1	322	6. P.
164309	kaścit	kaScit	kaScit	0	318	pron
157766	dṛś	dfS	dfS	1	317	4. Ā.
39102	eka	eka	eka	1	309	pron
57973	ādi	Adi	Adi	1	303	m
95978	tatra	tatra	tatra	1	301	ind
163754	tva	tva	tva	1	298	n
5705	agni	agni	agni	1	295	m
7467	atha	aTa	aTa	1	293	ind
63463	indra	indra	indra	1	282	m
164189	anya	anya	anya	1	282	pron
57749	ātman	Atman	Atman	1	280	m
87452	jana	jana	jana	1	280	m
157372	dā	dA	dA	1	280	1. Ā.
157340	sthā	sTA	sTA	1	277	1. Ā.
100722	daṇḍa	daRqa	daRqa	1	273	mn
203679	tā	tA	tA	1	268	f
12243	karman	karman	karman	1	261	n
37544	mahat	mahat	mahat	1	256	adj
204329	su	su	su	1	256	ind
143659	punar	punar	punar	1	250	ind
163742	adas	adas	adas	1	245	pron
157409	śru	Sru	Sru	1	244	4. P.
163234	para	para	para	1	241	pron
213041	ā	A	A	1	241	ind
39758	evam	evam	evam	1	230	ind
73250	yathā	yaTA	yaTA	1	227	ind
156124	ah	ah	ah	1	221	1. P.
49231	bhavat	Bavat	Bavat	1	200	adj
124503	guṇa	guRa	guRa	1	198	mn
167215	ati	ati	ati	1	197	ind
73226	yatas	yatas	yatas	1	195	ind
136827	mukha	muKa	muKa	1	191	n
1340	katham	kaTam	kaTam	1	189	ind
134289	kva	kva	kva	1	189	ind
157263	yā	yA	yA	1	176	2. Ā.
33528	nāma	nAma	nAma	1	175	ind
22761	kāla	kAla	kAla	1	173	m
69571	rasa	rasa	rasa	1	172	mn
157282	han	han	han	1	171	8. P.
7442	atra	atra	atra	1	168	ind
105774	saha	saha	saha	1	168	ind
144475	putra	putra	putra	1	168	m
159723	āgam	Agam	Agam	1	166	6.P.,1.P.,1.Ā.
153185	priya	priya	priya	1	165	adj
68470	vana	vana	vana	1	164	n
108715	hari	hari	hari	1	163	m
93551	pāda	pAda	pAda	1	158	m
36096	manas	manas	manas	1	156	n
73227	yat	yat	yat	1	155	ind
